model,dataset,erank_mean,erank_std,erank_ci_lower,erank_ci_upper,pr_mean,pr_std,pr_ci_lower,pr_ci_upper,beta_mean,beta_std,beta_ci_lower,beta_ci_upper,nad_mean,nad_std,nad_ci_lower,nad_ci_upper,num_classes,seed
resnet50_supervised,RetinaMNIST,37.106746673583984,0.7380958608983498,31.10128197669983,33.96612739562988,13.158467292785645,0.4236088195808066,11.99780876636505,13.428568387031556,-1.2685543171964802,0.011027796050725723,-1.2812154416155703,-1.244254074660184,-0.39641499216829684,0.028040200630047998,-0.44483296004818784,-0.35360998100989594,5,42
resnet50_supervised,IDRiD,27.66956901550293,0.9677690357625315,19.27240433692932,22.69628081321716,12.168427467346191,0.6043349633046067,9.496051692962647,11.515307855606078,-1.1535811502386175,0.10694874406459871,-1.5010028382380256,-1.2047851281523838,-0.25758215485710756,0.03990571005660992,-0.37110185808907625,-0.2292142096524319,5,42
dinov2,RetinaMNIST,30.648414611816406,0.6812728837048071,26.96257381439209,29.197506284713743,13.59602165222168,0.5404581681020755,12.054324841499328,14.017120313644408,-1.3158433821912656,0.009615141217850254,-1.3504191951960678,-1.318250596603174,-0.3876451323168255,0.02374361136678401,-0.4282943782665648,-0.35112653890774603,5,42
dinov2,IDRiD,25.430198669433594,1.0278210050389582,18.003404998779295,21.490348243713377,11.97032356262207,0.7522833364434646,9.30598566532135,11.836388850212096,-1.2443560663186906,0.11442796322628983,-1.649336282500721,-1.3492638784015993,-0.2640219649303535,0.03767125547948131,-0.37079731539787436,-0.24101266621109818,5,42
mae,RetinaMNIST,28.594776153564453,0.8358425244761608,24.76869969367981,27.577202606201173,10.125648498535156,0.44111890402513,9.132075476646424,10.607963585853577,-1.2933757004435544,0.009507467997208089,-1.3170089322012253,-1.2828797542833912,-0.39273814707103116,0.027272285458777235,-0.4361849826178236,-0.34553144209398545,5,42
mae,IDRiD,27.385679244995117,1.2485309170585357,18.673275804519655,22.73491196632385,12.101542472839355,0.9821777001942618,8.912490034103394,12.291354036331175,-1.1544287999224125,0.10733838277528918,-1.5106014031053852,-1.233571530514325,-0.2677735478634279,0.035975097258195955,-0.37490401643836463,-0.24869889355062968,5,42
