model,dataset,erank_mean,pr_mean,beta_mean,nad_mean
resnet50_supervised,RetinaMNIST,37.10675811767578,13.158464431762695,-1.3140780709723232,0.9797759652137756
resnet50_supervised,IDRiD,27.66959571838379,12.16843032836914,-2.4803137760435585,0.9520211219787598
dinov2,RetinaMNIST,30.6484375,13.596027374267578,-1.4947104610454445,0.9857838153839111
dinov2,IDRiD,25.43016815185547,11.970304489135742,-2.713164489611933,0.9642357230186462
mae,RetinaMNIST,28.49395179748535,10.13219165802002,-1.3744876051223724,0.9989417195320129
mae,IDRiD,26.921581268310547,11.8994722366333,-2.4626601207841436,0.9986557960510254
